Code,Subdivision name,Subdivision category,Parent subdivision
TR-26,Eskişehir,province,TR
TR-27,Gaziantep,province,TR
TR-28,Giresun,province,TR
TR-29,Gümüşhane,province,TR
TR-30,Hakkâri,province,TR
TR-31,Hatay,province,TR
TR-32,Isparta,province,TR
TR-33,Mersin,province,TR
TR-34,İstanbul,province,TR
TR-35,İzmir,province,TR
TR-36,Kars,province,TR
TR-37,Kastamonu,province,TR
TR-38,Kayseri,province,TR
TR-39,Kırklareli,province,TR
TR-40,Kırşehir,province,TR
TR-41,Kocaeli,province,TR
TR-42,Konya,province,TR
TR-43,Kütahya,province,TR
TR-44,Malatya,province,TR
TR-45,Manisa,province,TR
TR-46,Kahramanmaraş,province,TR
TR-47,Mardin,province,TR
TR-48,Muğla,province,TR
TR-49,Muş,province,TR
TR-50,Nevşehir,province,TR
TR-51,Niğde,province,TR
TR-52,Ordu,province,TR
TR-53,Rize,province,TR
TR-54,Sakarya,province,TR
TR-55,Samsun,province,TR
TR-56,Siirt,province,TR
TR-57,Sinop,province,TR
TR-58,Sivas,province,TR
TR-59,Tekirdağ,province,TR
TR-60,Tokat,province,TR
TR-61,Trabzon,province,TR
TR-62,Tunceli,province,TR
TR-63,Şanlıurfa,province,TR
TR-64,Uşak,province,TR
TR-65,Van,province,TR
TR-66,Yozgat,province,TR
TR-67,Zonguldak,province,TR
TR-68,Aksaray,province,TR
TR-69,Bayburt,province,TR
TR-70,Karaman,province,TR
TR-71,Kırıkkale,province,TR
TR-72,Batman,province,TR
TR-73,Şırnak,province,TR
TR-74,Bartın,province,TR
TR-75,Ardahan,province,TR
TR-76,Iğdır,province,TR
TR-77,Yalova,province,TR
TR-78,Karabük,province,TR
TR-79,Kilis,province,TR
TR-80,Osmaniye,province,TR
TR-81,Düzce,province,TR
TT-ARI,Arima,municipality,TT
TT-CHA,Chaguanas,municipality,TT
TT-CTT,Couva–Tabaquite–Talparo,region,TT
TT-DMN,Diego Martin,region,TT
TT-MRC,Mayaro-Rio Claro,region,TT
TT-PED,Penal–Debe,region,TT
TT-POS,Port of Spain,municipality,TT
TT-PRT,Princes Town,region,TT
TT-PTF,Point Fortin,municipality,TT
TT-SFO,San Fernando,municipality,TT
TT-SGE,Sangre Grande,region,TT
TT-SIP,Siparia,region,TT
TT-SJL,San Juan–Laventille,region,TT
TT-TOB,Tobago,ward,TT
TT-TUP,Tunapuna–Piarco,region,TT
TV-FUN,Funafuti,town council,TV
TV-NIT,Niutao,island council,TV
TV-NKF,Nukufetau,island council,TV
TV-NKL,Nukulaelae,island council,TV
TV-NMA,Nanumea,island council,TV
TV-NMG,Nanumaga,island council,TV
TV-NUI,Nui,island council,TV
TV-VAI,Vaitupu,island council,TV
TW-KHH,Kaohsiung,special municipality,TW
TW-NWT,New Taipei,special municipality,TW
TW-TAO,Taoyuan,special municipality,TW
TW-TNN,Tainan,special municipality,TW
TW-TPE,Taipei,special municipality,TW
TW-TXG,Taichung,special municipality,TW
TZ-01,Arusha,region,TZ
TZ-02,Dar es Salaam,region,TZ
TZ-03,Dodoma,region,TZ
TZ-04,Iringa,region,TZ
TZ-05,Kagera,region,TZ
TZ-06,Pemba North,region,TZ
TZ-07,Zanzibar North,region,TZ
TZ-08,Kigoma,region,TZ
TZ-09,Kilimanjaro,region,TZ
TZ-10,Pemba South,region,TZ
TZ-11,Zanzibar South,region,TZ
TZ-12,Lindi,region,TZ
TZ-13,Mara,region,TZ
TZ-14,Mbeya,region,TZ
TZ-15,Zanzibar West,region,TZ
TZ-16,Morogoro,region,TZ
TZ-17,Mtwara,region,TZ
TZ-18,Mwanza,region,TZ
TZ-19,Coast,region,TZ
TZ-20,Rukwa,region,TZ
TZ-21,Ruvuma,region,TZ
TZ-22,Shinyanga,region,TZ
TZ-23,Singida,region,TZ
TZ-24,Tabora,region,TZ
TZ-25,Tanga,region,TZ
TZ-26,Manyara,region,TZ
TZ-27,Geita,region,TZ
TZ-28,Katavi,region,TZ
TZ-29,Njombe,region,TZ
TZ-30,Simiyu,region,TZ
UA-05,Vinnytska oblast,region,UA
UA-07,Volynska oblast,region,UA
UA-09,Luhanska oblast,region,UA
UA-12,Dnipropetrovska oblast,region,UA
UA-14,Donetska oblast,region,UA
UA-18,Zhytomyrska oblast,region,UA
UA-21,Zakarpatska oblast,region,UA
UA-23,Zaporizka oblast,region,UA
UA-26,Ivano-Frankivska oblast,region,UA
UA-30,Kyiv,city,UA
UA-32,Kyivska oblast,region,UA
UA-35,Kirovohradska oblast,region,UA
UA-40,Sevastopol,city,UA
UA-43,Avtonomna Respublika Krym,republic,UA
UA-46,Lvivska oblast,region,UA
UA-48,Mykolaivska oblast,region,UA
UA-51,Odeska oblast,region,UA
UA-53,Poltavska oblast,region,UA
UA-56,Rivnenska oblast,region,UA
UA-59,Sumska oblast,region,UA
UA-61,Ternopilska oblast,region,UA
UA-63,Kharkivska oblast,region,UA
UA-65,Khersonska oblast,region,UA
UA-68,Khmelnytska oblast,region,UA
UA-71,Cherkaska oblast,region,UA
UA-74,Chernihivska oblast,region,UA
UA-77,Chernivetska oblast,region,UA
UG-C,Central,geographical region,UG
UG-E,Eastern,geographical region,UG
UG-N,Northern,geographical region,UG
UG-W,Western,geographical region,UG
UM,(No regions),,UM
US-AK,Alaska,state,US
US-AL,Alabama,state,US
US-AR,Arkansas,state,US
US-AS,American Samoa,outlying area,US
US-AZ,Arizona,state,US
US-CA,California,state,US
US-CO,Colorado,state,US
US-CT,Connecticut,state,US
US-DC,District of Columbia,district,US
US-DE,Delaware,state,US
US-FL,Florida,state,US
US-GA,Georgia,state,US
US-GU,Guam,outlying area,US
US-HI,Hawaii,state,US
US-IA,Iowa,state,US
US-ID,Idaho,state,US
US-IL,Illinois,state,US
US-IN,Indiana,state,US
US-KS,Kansas,state,US
US-KY,Kentucky,state,US
US-LA,Louisiana,state,US
US-MA,Massachusetts,state,US
US-MD,Maryland,state,US
US-ME,Maine,state,US
US-MI,Michigan,state,US
US-MN,Minnesota,state,US
US-MO,Missouri,state,US
US-MP,Northern Mariana Islands,outlying area,US
US-MS,Mississippi,state,US
US-MT,Montana,state,US
US-NC,North Carolina,state,US
US-ND,North Dakota,state,US
US-NE,Nebraska,state,US
US-NH,New Hampshire,state,US
US-NJ,New Jersey,state,US
US-NM,New Mexico,state,US
US-NV,Nevada,state,US
US-NY,New York,state,US
US-OH,Ohio,state,US
US-OK,Oklahoma,state,US
US-OR,Oregon,state,US
US-PA,Pennsylvania,state,US
US-PR,Puerto Rico,outlying area,US
US-RI,Rhode Island,state,US
US-SC,South Carolina,state,US
US-SD,South Dakota,state,US
US-TN,Tennessee,state,US
US-TX,Texas,state,US
US-UM,United States Minor Outlying Islands,outlying area,US
US-UT,Utah,state,US
US-VA,Virginia,state,US
US-VI,"Virgin Islands, U.S.",outlying area,US
US-VT,Vermont,state,US
US-WA,Washington,state,US
US-WI,Wisconsin,state,US
US-WV,West Virginia,state,US
US-WY,Wyoming,state,US
UY-AR,Artigas,department,UY
UY-CA,Canelones,department,UY
UY-CL,Cerro Largo,department,UY
UY-CO,Colonia,department,UY
UY-DU,Durazno,department,UY
UY-FD,Florida,department,UY
UY-FS,Flores,department,UY
UY-LA,Lavalleja,department,UY
UY-MA,Maldonado,department,UY
UY-MO,Montevideo,department,UY
UY-PA,Paysandú,department,UY
UY-RN,Río Negro,department,UY
UY-RO,Rocha,department,UY
UY-RV,Rivera,department,UY
UY-SA,Salto,department,UY
UY-SJ,San José,department,UY
UY-SO,Soriano,department,UY
UY-TA,Tacuarembó,department,UY
UY-TT,Treinta y Tres,department,UY
UZ-AN,Andijan,region,UZ
UZ-BU,Bukhara,region,UZ
UZ-FA,Ferghana,region,UZ
UZ-JI,Jizzakh,region,UZ
UZ-NG,Namangan,region,UZ
UZ-NW,Navoiy,region,UZ
UZ-QA,Kashkadarya,region,UZ
UZ-QR,Karakalpakstan,republic,UZ
UZ-SA,Samarkand,region,UZ
UZ-SI,Sirdarya,region,UZ
UZ-SU,Surkhandarya,region,UZ
UZ-TO,Tashkent,region,UZ
UZ-XO,Khorezm,region,UZ
VA,(No regions),,VA
VC-01,Charlotte,parish,VC
VC-02,Saint Andrew,parish,VC
VC-03,Saint David,parish,VC
VC-04,Saint George,parish,VC
VC-05,Saint Patrick,parish,VC
VC-06,Grenadines,parish,VC
VE-A,Capital District,federal district,VE
VE-B,Anzoátegui,state,VE
VE-C,Apure,state,VE
VE-D,Aragua,state,VE
VE-E,Barinas,state,VE
VE-F,Bolívar,state,VE
VE-G,Carabobo,state,VE
VE-H,Cojedes,state,VE
VE-I,Falcón,state,VE
VE-J,Guárico,state,VE
VE-K,Lara,state,VE
VE-L,Mérida,state,VE
VE-M,Miranda,state,VE
VE-N,Monagas,state,VE
VE-O,Nueva Esparta,state,VE
VE-P,Portuguesa,state,VE
VE-R,Sucre,state,VE
VE-S,Táchira,state,VE
VE-T,Trujillo,state,VE
VE-U,Yaracuy,state,VE
VE-V,Zulia,state,VE
VE-W,Federal Dependencies,federal dependency,VE
VE-X,Vargas,state,VE
VE-Y,Delta Amacuro,state,VE
VE-Z,Amazonas,state,VE
VG,(No regions),,VG
VI,(No regions),,VI
VN-01,Lai Châu,province,VN
VN-02,Lào Cai,province,VN
VN-03,Hà Giang,province,VN
VN-04,Cao Bằng,province,VN
VN-05,Sơn La,province,VN
VN-06,Yên Bái,province,VN
VN-07,Tuyên Quang,province,VN
VN-09,Lạng Sơn,province,VN
VN-13,Quảng Ninh,province,VN
VN-14,Hòa Bình,province,VN
VN-18,Ninh Bình,province,VN
VN-20,Thái Bình,province,VN
VN-21,Thanh Hóa,province,VN
VN-22,Nghệ An,province,VN
VN-23,Hà Tĩnh,province,VN
VN-24,Quảng Bình,province,VN
VN-25,Quảng Trị,province,VN
VN-26,Thừa Thiên–Huế,province,VN
VN-27,Quảng Nam,province,VN
VN-28,Kon Tum,province,VN
VN-29,Quảng Ngãi,province,VN
VN-30,Gia Lai,province,VN
VN-31,Bình Định,province,VN
VN-32,Phú Yên,province,VN
VN-33,Đắk Lắk,province,VN
VN-34,Khánh Hòa,province,VN
VN-35,Lâm Đồng,province,VN
VN-36,Ninh Thuận,province,VN
VN-37,Tây Ninh,province,VN
VN-39,Đồng Nai,province,VN
VN-40,Bình Thuận,province,VN
VN-41,Long An,province,VN
VN-43,Bà Rịa–Vũng Tàu,province,VN
VN-44,An Giang,province,VN
VN-45,Đồng Tháp,province,VN
VN-46,Tiền Giang,province,VN
VN-47,Kiên Giang,province,VN
VN-49,Vĩnh Long,province,VN
VN-50,Bến Tre,province,VN
VN-51,Trà Vinh,province,VN
VN-52,Sóc Trăng,province,VN
VN-53,Bắc Kạn,province,VN
VN-54,Bắc Giang,province,VN
VN-55,Bạc Liêu,province,VN
VN-56,Bắc Ninh,province,VN
VN-57,Bình Dương,province,VN
VN-58,Bình Phước,province,VN
VN-59,Cà Mau,province,VN
VN-61,Hải Dương,province,VN
VN-63,Hà Nam,province,VN
VN-66,Hưng Yên,province,VN
VN-67,Nam Định,province,VN
VN-68,Phú Thọ,province,VN
VN-69,Thái Nguyên,province,VN
VN-70,Vĩnh Phúc,province,VN
VN-71,Điện Biên,province,VN
VN-72,Đắk Nông,province,VN
VN-73,Hậu Giang,province,VN
VN-CT,Cần Thơ,municipality,VN
VN-DN,Đà Nẵng,municipality,VN
VN-HN,Hà Nội,municipality,VN
VN-HP,Hải Phòng,municipality,VN
VN-SG,Hồ Chí Minh,municipality,VN
VU-MAP,Malampa,province,VU
VU-PAM,Pénama,province,VU
VU-SAM,Sanma,province,VU
VU-SEE,Shéfa,province,VU
VU-TAE,Taféa,province,VU
VU-TOB,Torba,province,VU
WF,(No regions),,WF
WS-AA,A'ana,district,WS
WS-AL,Aiga-i-le-Tai,district,WS
WS-AT,Atua,district,WS
WS-FA,Fa'asaleleaga,district,WS
WS-GE,Gaga'emauga,district,WS
WS-GI,Gagaifomauga,district,WS
WS-PA,Palauli,district,WS
WS-SA,Satupa'itea,district,WS
WS-TU,Tuamasaga,district,WS
WS-VF,Va'a-o-Fonoti,district,WS
WS-VS,Vaisigano,district,WS
XK,(No regions),,XK
YE-AB,Abyan,governorate,YE
YE-AD,‘Adan,governorate,YE
YE-AM,‘Amrān,governorate,YE
YE-BA,Al Bayḑā’,governorate,YE
YE-DA,Aḑ Ḑāli‘,governorate,YE
YE-DH,Dhamār,governorate,YE
YE-HD,Ḩaḑramawt,governorate,YE
YE-HJ,Ḩajjah,governorate,YE
YE-HU,Al Ḩudaydah,governorate,YE
YE-IB,Ibb,governorate,YE
YE-JA,Al Jawf,governorate,YE
YE-LA,Laḩij,governorate,YE
YE-MA,Ma’rib,governorate,YE
YE-MR,Al Mahrah,governorate,YE
YE-MW,Al Maḩwīt,governorate,YE
YE-RA,Raymah,governorate,YE
YE-SA,Amānat al ‘Āşimah [city],municipality,YE
YE-SD,Şāʻdah,governorate,YE
YE-SH,Shabwah,governorate,YE
YE-SN,Şanʻā’,governorate,YE
YE-SU,Arkhabīl Suquţrá,governorate,YE
YE-TA,Tā‘izz,governorate,YE
YT,(No regions),,YT
ZA-EC,Eastern Cape,province,ZA
ZA-FS,Free State,province,ZA
ZA-GT,Gauteng,province,ZA
ZA-LP,Limpopo,province,ZA
ZA-MP,Mpumalanga,province,ZA
ZA-NC,Northern Cape,province,ZA
ZA-NL,KwaZulu-Natal,province,ZA
ZA-NW,North West,province,ZA
ZA-WC,Western Cape,province,ZA
ZM-01,Western,province,ZM
ZM-02,Central,province,ZM
ZM-03,Eastern,province,ZM
ZM-04,Luapula,province,ZM
ZM-05,Northern,province,ZM
ZM-06,North-Western,province,ZM
ZM-07,Southern,province,ZM
ZM-08,Copperbelt,province,ZM
ZM-09,Lusaka,province,ZM
ZM-10,Muchinga,province,ZM
ZW-BU,Bulawayo,province,ZW
ZW-HA,Harare,province,ZW
ZW-MA,Manicaland,province,ZW
ZW-MC,Mashonaland Central,province,ZW
ZW-ME,Mashonaland East,province,ZW
ZW-MI,Midlands,province,ZW
ZW-MN,Matabeleland North,province,ZW
ZW-MS,Matabeleland South,province,ZW
ZW-MV,Masvingo,province,ZW
ZW-MW,Mashonaland West,province,ZW
